freq nodes threads time mpipercent
 2601.000 1 16 99.21 0.00
 2601.000 1 12 107.84 0.00
 2601.000 1 8 125.46 0.00
 2601.000 1 4 185.10 0.00
 2601.000 2 16 49.87 0.66
 2601.000 2 12 53.90 1.29
 2601.000 2 8 63.17 0.55
 2601.000 2 4 92.73 0.49
 2601.000 4 16 25.10 2.13
 2601.000 4 12 27.32 2.15
 2601.000 4 8 31.81 1.42
 2601.000 4 4 46.57 1.27
 2601.000 8 16 12.52 3.42
 2601.000 8 12 13.73 3.27
 2601.000 8 8 16.06 2.78
 2601.000 8 4 23.50 2.24
 2601.000 16 16 6.33 5.01
 2601.000 16 12 6.84 4.52
 2601.000 16 8 8.04 4.21
 2601.000 16 4 11.78 4.19
 2601.000 32 16 3.22 8.41
 2601.000 32 12 3.51 6.99
 2601.000 32 8 4.11 5.64
 2601.000 32 4 5.91 6.42
 2601.000 64 16 2.77 47.14
 2601.000 64 12 1.75 7.86
 2601.000 64 8 2.08 8.38
 2601.000 64 4 3.01 9.16
 2601.000 128 16 0.87 50.63
 2601.000 128 12 0.93 12.32
 2601.000 128 8 1.08 11.82
 2601.000 128 4 1.58 13.55
