freq nodes cores time mpipercent
 2601.000 1 16 39.98 0.00
 2601.000 1 12 42.80 0.00
 2601.000 1 8 50.27 0.00
 2601.000 1 4 73.70 0.00
 2601.000 2 16 20.08 1.03
 2601.000 2 12 21.31 0.81
 2601.000 2 8 25.24 0.64
 2601.000 2 4 36.91 0.45
 2601.000 4 16 10.03 2.26
 2601.000 4 12 10.98 2.64
 2601.000 4 8 12.75 1.73
 2601.000 4 4 18.54 0.97
 2601.000 8 16 5.17 5.48
 2601.000 8 12 5.48 3.19
 2601.000 8 8 6.41 2.51
 2601.000 8 4 9.38 2.06
 2601.000 16 16 2.52 4.85
 2601.000 16 12 2.76 4.95
 2601.000 16 8 3.22 3.98
 2601.000 16 4 4.71 4.14
 2601.000 32 16 1.28 7.39
 2601.000 32 12 1.39 6.39
 2601.000 32 8 1.65 5.85
 2601.000 32 4 2.35 5.71
 2601.000 64 16 0.64 10.02
 2601.000 64 12 0.71 9.98
 2601.000 64 8 0.83 8.52
 2601.000 64 4 1.15 6.41
 2601.000 128 16 0.36 69.53
 2601.000 128 12 0.37 12.39
 2601.000 128 8 0.44 12.77
 2601.000 128 4 0.62 12.52
