freq nodes threads time mpipercent
 2601.000 1 16 87.32 0.00
 2601.000 1 12 99.98 0.00
 2601.000 1 8 113.11 0.00
 2601.000 1 4 165.38 0.00
 2601.000 2 16 44.54 3.06
 2601.000 2 12 47.84 1.78
 2601.000 2 8 57.17 0.88
 2601.000 2 4 83.44 0.69
 2601.000 4 16 23.27 6.65
 2601.000 4 12 24.10 2.72
 2601.000 4 8 28.63 2.82
 2601.000 4 4 41.66 1.57
 2601.000 8 16 13.31 18.51
 2601.000 8 12 13.24 11.73
 2601.000 8 8 14.43 4.60
 2601.000 8 4 21.18 3.14
 2601.000 16 16 6.96 22.17
 2601.000 16 12 6.36 10.86
 2601.000 16 8 8.07 16.45
 2601.000 16 4 10.51 4.03
 2601.000 32 16 6.15 53.55
 2601.000 32 12 3.91 29.64
 2601.000 32 8 3.66 12.08
 2601.000 32 4 5.25 5.92
 2601.000 64 16 3.70 56.23
 2601.000 64 12 1.96 31.21
 2601.000 64 8 2.08 26.26
 2601.000 64 4 2.72 9.47
 2601.000 128 16 2.36 67.96
 2601.000 128 12 1.33 49.10
 2601.000 128 8 1.67 53.85
 2601.000 128 4 1.44 14.09
