freq nodes threads time mpipercent
 2601.000 1 16 130.12 0.00
 2601.000 1 12 163.26 0.00
 2601.000 1 8 204.94 0.00
 2601.000 1 4 334.92 0.00
 2601.000 2 16 64.63 1.03
 2601.000 2 12 79.83 0.65
 2601.000 2 8 102.07 0.67
 2601.000 2 4 168.13 0.63
 2601.000 4 16 32.64 2.58
 2601.000 4 12 40.44 2.13
 2601.000 4 8 51.29 1.54
 2601.000 4 4 84.53 1.45
 2601.000 8 16 16.67 4.64
 2601.000 8 12 20.60 3.89
 2601.000 8 8 26.26 3.79
 2601.000 8 4 42.82 2.90
 2601.000 16 16 8.73 8.54
 2601.000 16 12 10.58 6.27
 2601.000 16 8 13.45 5.58
 2601.000 16 4 21.86 4.98
 2601.000 32 16 4.56 12.91
 2601.000 32 12 5.60 11.19
 2601.000 32 8 6.96 8.65
 2601.000 32 4 11.27 8.07
 2601.000 64 16 3.36 40.57
 2601.000 64 12 2.94 15.69
 2601.000 64 8 3.63 12.79
 2601.000 64 4 5.72 9.84
 2601.000 128 16 2.95 69.34
 2601.000 128 12 2.92 58.61
 2601.000 128 8 1.89 20.46
 2601.000 128 4 3.36 23.28

